								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	618							
Alpha	0.05							
								
Šídák's multiple comparisons test	Predicted (LS) mean diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P27747								
    Group B vs. Group C	0.2140	-3.899 to 4.327	No	ns	>0.9999			
								
  Q0K2T2								
    Group A vs. Group B	-0.4404	-3.799 to 2.918	No	ns	>0.9999			
    Group A vs. Group C	0.1719	-3.941 to 4.285	No	ns	>0.9999			
    Group B vs. Group C	0.6123	-3.501 to 4.726	No	ns	>0.9999			
								
  Q0K2U7								
    Group A vs. Group B	1.728	-1.630 to 5.086	No	ns	>0.9999			
    Group A vs. Group C	3.039	-1.075 to 7.152	No	ns	0.8926			
    Group B vs. Group C	1.311	-2.803 to 5.424	No	ns	>0.9999			
								
  Q0K2V6								
    Group A vs. Group B	0.6999	-2.659 to 4.058	No	ns	>0.9999			
    Group A vs. Group C	-0.3861	-4.499 to 3.727	No	ns	>0.9999			
    Group B vs. Group C	-1.086	-5.199 to 3.027	No	ns	>0.9999			
								
  Q0K312								
    Group A vs. Group B	0.6262	-2.732 to 3.985	No	ns	>0.9999			
    Group A vs. Group C	1.029	-3.084 to 5.142	No	ns	>0.9999			
    Group B vs. Group C	0.4026	-3.711 to 4.516	No	ns	>0.9999			
								
  Q0K313								
    Group A vs. Group B	0.7246	-2.634 to 4.083	No	ns	>0.9999			
    Group A vs. Group C	2.208	-1.905 to 6.322	No	ns	>0.9999			
    Group B vs. Group C	1.484	-2.629 to 5.597	No	ns	>0.9999			
								
  Q0K324								
    Group A vs. Group B	0.5782	-2.780 to 3.937	No	ns	>0.9999			
    Group A vs. Group C	-0.2423	-4.355 to 3.871	No	ns	>0.9999			
    Group B vs. Group C	-0.8204	-4.934 to 3.293	No	ns	>0.9999			
								
  Q0K335								
    Group A vs. Group B	2.534	-0.8240 to 5.893	No	ns	0.8384			
    Group A vs. Group C	4.055	-0.05860 to 8.168	No	ns	0.0626			
    Group B vs. Group C	1.520	-2.593 to 5.633	No	ns	>0.9999			
								
  Q0K338								
    Group A vs. Group B	2.360	-0.9980 to 5.719	No	ns	0.9691			
    Group A vs. Group C	3.189	-0.9238 to 7.303	No	ns	0.7516			
    Group B vs. Group C	0.8289	-3.284 to 4.942	No	ns	>0.9999			
								
  Q0K3B3								
    Group A vs. Group B	0.8689	-2.489 to 4.227	No	ns	>0.9999			
    Group A vs. Group C	2.651	-1.462 to 6.764	No	ns	0.9990			
    Group B vs. Group C	1.782	-2.331 to 5.895	No	ns	>0.9999			
								
  Q0K3B9								
    Group A vs. Group B	1.164	-2.194 to 4.523	No	ns	>0.9999			
    Group A vs. Group C	1.176	-2.937 to 5.289	No	ns	>0.9999			
    Group B vs. Group C	0.01152	-4.102 to 4.125	No	ns	>0.9999			
								
  Q0K3L0								
    Group A vs. Group B	1.797	-1.561 to 5.155	No	ns	>0.9999			
    Group A vs. Group C	0.6882	-3.425 to 4.801	No	ns	>0.9999			
    Group B vs. Group C	-1.109	-5.222 to 3.004	No	ns	>0.9999			
								
  Q0K3M2								
    Group A vs. Group B	0.4783	-2.880 to 3.837	No	ns	>0.9999			
    Group A vs. Group C	0.8744	-3.239 to 4.988	No	ns	>0.9999			
    Group B vs. Group C	0.3961	-3.717 to 4.509	No	ns	>0.9999			
								
  Q0K3M5								
    Group A vs. Group B	1.457	-1.901 to 4.816	No	ns	>0.9999			
    Group A vs. Group C	2.142	-1.971 to 6.255	No	ns	>0.9999			
    Group B vs. Group C	0.6848	-3.428 to 4.798	No	ns	>0.9999			
								
  Q0K3W4								
    Group A vs. Group B	1.038	-2.320 to 4.397	No	ns	>0.9999			
    Group A vs. Group C	3.472	-0.6410 to 7.585	No	ns	0.4213			
    Group B vs. Group C	2.434	-1.679 to 6.547	No	ns	>0.9999			
								
  Q0K409								
    Group A vs. Group B	2.066	-1.292 to 5.425	No	ns	>0.9999			
    Group A vs. Group C	5.985	1.872 to 10.10	Yes	****	<0.0001			
    Group B vs. Group C	3.919	-0.1947 to 8.032	No	ns	0.1034			
								
  Q0K410								
    Group A vs. Group B	1.206	-2.153 to 4.564	No	ns	>0.9999			
    Group A vs. Group C	3.174	-0.9394 to 7.287	No	ns	0.7687			
    Group B vs. Group C	1.968	-2.145 to 6.081	No	ns	>0.9999			
								
  Q0K418								
    Group A vs. Group B	0.9163	-2.442 to 4.275	No	ns	>0.9999			
    Group A vs. Group C	0.4424	-3.671 to 4.556	No	ns	>0.9999			
    Group B vs. Group C	-0.4739	-4.587 to 3.639	No	ns	>0.9999			
								
  Q0K4C2								
    Group A vs. Group B	1.973	-1.386 to 5.331	No	ns	>0.9999			
    Group A vs. Group C	-0.4195	-4.533 to 3.694	No	ns	>0.9999			
    Group B vs. Group C	-2.392	-6.506 to 1.721	No	ns	>0.9999			
								
  Q0K4R0								
    Group A vs. Group B	-2.321	-5.679 to 1.038	No	ns	0.9818			
    Group A vs. Group C	-1.315	-5.428 to 2.799	No	ns	>0.9999			
    Group B vs. Group C	1.006	-3.107 to 5.119	No	ns	>0.9999			
								
  Q0K4U2								
    Group A vs. Group B	0.7706	-2.588 to 4.129	No	ns	>0.9999			
    Group A vs. Group C	1.888	-2.225 to 6.001	No	ns	>0.9999			
    Group B vs. Group C	1.117	-2.996 to 5.231	No	ns	>0.9999			
								
  Q0K4V1								
    Group A vs. Group B	0.6778	-2.681 to 4.036	No	ns	>0.9999			
    Group A vs. Group C	1.399	-2.714 to 5.513	No	ns	>0.9999			
    Group B vs. Group C	0.7215	-3.392 to 4.835	No	ns	>0.9999			
								
  Q0K541								
    Group A vs. Group B	-2.739	-6.097 to 0.6194	No	ns	0.5567			
    Group A vs. Group C	-1.823	-5.937 to 2.290	No	ns	>0.9999			
    Group B vs. Group C	0.9155	-3.198 to 5.029	No	ns	>0.9999			
								
  Q0K553								
    Group A vs. Group B	-1.039	-4.397 to 2.320	No	ns	>0.9999			
    Group A vs. Group C	0.6889	-3.424 to 4.802	No	ns	>0.9999			
    Group B vs. Group C	1.728	-2.385 to 5.841	No	ns	>0.9999			
								
  Q0K556								
    Group A vs. Group B	-0.08303	-3.441 to 3.275	No	ns	>0.9999			
    Group A vs. Group C	6.007	1.894 to 10.12	Yes	****	<0.0001			
    Group B vs. Group C	6.090	1.977 to 10.20	Yes	****	<0.0001			
								
  Q0K5B2								
    Group A vs. Group B	1.342	-2.017 to 4.700	No	ns	>0.9999			
    Group A vs. Group C	-1.248	-5.361 to 2.866	No	ns	>0.9999			
    Group B vs. Group C	-2.589	-6.703 to 1.524	No	ns	0.9997			
								
  Q0K5E2								
    Group A vs. Group B	1.991	-1.367 to 5.349	No	ns	>0.9999			
    Group A vs. Group C	2.602	-1.511 to 6.716	No	ns	0.9996			
    Group B vs. Group C	0.6114	-3.502 to 4.725	No	ns	>0.9999			
								
  Q0K5F6								
    Group A vs. Group B	0.2311	-3.127 to 3.589	No	ns	>0.9999			
    Group A vs. Group C	0.06702	-4.046 to 4.180	No	ns	>0.9999			
    Group B vs. Group C	-0.1640	-4.277 to 3.949	No	ns	>0.9999			
								
  Q0K5G3								
    Group A vs. Group B	1.724	-1.634 to 5.083	No	ns	>0.9999			
    Group A vs. Group C	2.290	-1.824 to 6.403	No	ns	>0.9999			
    Group B vs. Group C	0.5651	-3.548 to 4.678	No	ns	>0.9999			
								
  Q0K5K0								
    Group A vs. Group B	2.293	-1.065 to 5.651	No	ns	0.9879			
    Group A vs. Group C	3.462	-0.6510 to 7.575	No	ns	0.4323			
    Group B vs. Group C	1.169	-2.944 to 5.282	No	ns	>0.9999			
								
  Q0K5L1								
    Group A vs. Group B	-1.358	-4.716 to 2.001	No	ns	>0.9999			
    Group A vs. Group C	1.413	-2.700 to 5.527	No	ns	>0.9999			
    Group B vs. Group C	2.771	-1.342 to 6.884	No	ns	0.9927			
								
  Q0K5L2								
    Group A vs. Group B	1.245	-2.113 to 4.604	No	ns	>0.9999			
    Group A vs. Group C	2.199	-1.914 to 6.313	No	ns	>0.9999			
    Group B vs. Group C	0.9542	-3.159 to 5.067	No	ns	>0.9999			
								
  Q0K5P2								
    Group A vs. Group B	-0.2751	-3.633 to 3.083	No	ns	>0.9999			
    Group A vs. Group C	-0.3586	-4.472 to 3.755	No	ns	>0.9999			
    Group B vs. Group C	-0.08350	-4.197 to 4.030	No	ns	>0.9999			
								
  Q0K5P7								
    Group A vs. Group B	1.170	-2.188 to 4.528	No	ns	>0.9999			
    Group A vs. Group C	1.754	-2.359 to 5.867	No	ns	>0.9999			
    Group B vs. Group C	0.5838	-3.529 to 4.697	No	ns	>0.9999			
								
  Q0K616								
    Group A vs. Group B	3.422	0.06399 to 6.781	Yes	*	0.0368			
    Group A vs. Group C	2.283	-1.830 to 6.396	No	ns	>0.9999			
    Group B vs. Group C	-1.140	-5.253 to 2.974	No	ns	>0.9999			
								
  Q0K639								
    Group A vs. Group B	2.501	-0.8574 to 5.859	No	ns	0.8738			
    Group A vs. Group C	1.077	-3.036 to 5.190	No	ns	>0.9999			
    Group B vs. Group C	-1.424	-5.537 to 2.690	No	ns	>0.9999			
								
  Q0K675								
    Group A vs. Group B	0.8341	-2.524 to 4.193	No	ns	>0.9999			
    Group A vs. Group C	4.527	0.4139 to 8.640	Yes	**	0.0092			
    Group B vs. Group C	3.693	-0.4202 to 7.806	No	ns	0.2225			
								
  Q0K6D4								
    Group A vs. Group B	-0.1019	-3.460 to 3.257	No	ns	>0.9999			
    Group A vs. Group C	-0.2024	-4.316 to 3.911	No	ns	>0.9999			
    Group B vs. Group C	-0.1005	-4.214 to 4.013	No	ns	>0.9999			
								
  Q0K6E4								
    Group A vs. Group B	-0.3533	-3.712 to 3.005	No	ns	>0.9999			
    Group A vs. Group C	1.459	-2.654 to 5.572	No	ns	>0.9999			
    Group B vs. Group C	1.812	-2.301 to 5.926	No	ns	>0.9999			
								
  Q0K6E5								
    Group A vs. Group B	-2.656	-6.014 to 0.7029	No	ns	0.6794			
    Group A vs. Group C	-0.08555	-4.199 to 4.028	No	ns	>0.9999			
    Group B vs. Group C	2.570	-1.543 to 6.683	No	ns	0.9998			
								
  Q0K6F1								
    Group A vs. Group B	0.4072	-2.951 to 3.766	No	ns	>0.9999			
    Group A vs. Group C	0.7697	-3.343 to 4.883	No	ns	>0.9999			
    Group B vs. Group C	0.3625	-3.751 to 4.476	No	ns	>0.9999			
								
  Q0K6F8								
    Group A vs. Group B	-1.519	-4.878 to 1.839	No	ns	>0.9999			
    Group A vs. Group C	1.890	-2.223 to 6.003	No	ns	>0.9999			
    Group B vs. Group C	3.409	-0.7043 to 7.522	No	ns	0.4925			
								
  Q0K6G8								
    Group A vs. Group B	2.180	-1.178 to 5.539	No	ns	0.9985			
    Group A vs. Group C	2.917	-1.196 to 7.030	No	ns	0.9600			
